generator,2025,2035,2045
ES1 0 CCGT new,0.0,32399.513438172256,31376.04773798501
ES1 0 coal new,0.0,0.0,0.0
ES1 0 offwind-ac new,0.0,0.0,0.0
ES1 0 onwind new,41308.5276944731,53651.72533880973,0.0
ES1 0 ror new,0.0,0.0,0.0
ES1 0 solar new,23363.158546077335,23363.158546077335,23363.158546077335
PT1 0 CCGT new,4247.012916227501,8290.0,8290.0
PT1 0 offwind-ac new,0.0,0.0,0.0
PT1 0 onwind new,7463.326383073752,10427.281350636862,0.0
PT1 0 ror new,0.0,0.0,0.0
PT1 0 solar new,2050.88,2050.88,2050.88
