year,week,hour,branch,value
2025,21,0,35,-4741.961617531506
2025,21,1,35,-4709.419579303789
2025,21,2,35,-4687.023003969531
2025,21,3,35,-4698.023668759377
2025,21,4,35,-4826.109521289991
2025,21,5,35,-4634.070476153957
2025,21,6,35,-4164.677093190075
2025,21,7,35,-3815.17137336399
2025,21,8,35,-4163.8973855787335
2025,21,9,35,-4545.287635327132
2025,21,10,35,-3839.9456006931973
2025,21,11,35,-4224.399663539722
2025,21,12,35,-4159.311052991076
2025,21,13,35,-4373.071934022454
2025,21,14,35,-4949.475047179089
2025,21,15,35,-5000.0
2025,21,16,35,-5000.0
2025,21,17,35,-5000.0
2025,21,18,35,-5000.0
2025,21,19,35,-5000.0
2025,21,20,35,-5000.0
2025,21,21,35,-5000.0
2025,21,22,35,-5000.0
2025,21,23,35,-5000.0
2025,21,24,35,-5000.0
2025,21,25,35,-5000.0
2025,21,26,35,-5000.0
2025,21,27,35,-5000.0
2025,21,28,35,-5000.0
2025,21,29,35,-5000.0
2025,21,30,35,-5000.0
2025,21,31,35,-5000.0
2025,21,32,35,-5000.0
2025,21,33,35,-5000.0
2025,21,34,35,-4366.433830431439
2025,21,35,35,-4848.961241820825
2025,21,36,35,-5000.0
2025,21,37,35,-5000.0
2025,21,38,35,-5000.0
2025,21,39,35,-5000.0
2025,21,40,35,-5000.0
2025,21,41,35,-5000.0
2025,21,42,35,-5000.0
2025,21,43,35,-5000.0
2025,21,44,35,-5000.0
2025,21,45,35,-5000.0
2025,21,46,35,-5000.0
2025,21,47,35,-5000.0
2025,21,48,35,-5000.0
2025,21,49,35,-5000.0
2025,21,50,35,-5000.0
2025,21,51,35,-5000.0
2025,21,52,35,-5000.0
2025,21,53,35,-5000.0
2025,21,54,35,-4368.992633419256
2025,21,55,35,-3736.7609109529367
2025,21,56,35,-3762.3920322326044
2025,21,57,35,-3044.7048573283323
2025,21,58,35,-3011.4910315240522
2025,21,59,35,-84.90894249902613
2025,21,60,35,2667.74702678054
2025,21,61,35,2086.7571878408908
2025,21,62,35,1399.3109193517337
2025,21,63,35,677.2240686238464
2025,21,64,35,-556.6114592399414
2025,21,65,35,-1269.7270079804528
2025,21,66,35,-4933.911000886295
2025,21,67,35,-5000.0
2025,21,68,35,-5000.0
2025,21,69,35,-3344.2914409723835
2025,21,70,35,-2776.775848999786
2025,21,71,35,-2361.970998213409
2025,21,72,35,-2790.8061209619746
2025,21,73,35,-3475.049802530073
2025,21,74,35,-4292.865179454411
2025,21,75,35,-4915.331936854741
2025,21,76,35,-5000.0
2025,21,77,35,-5000.0
2025,21,78,35,-5000.0
2025,21,79,35,-4490.316947444349
2025,21,80,35,-4315.064785129546
2025,21,81,35,-2303.5735948676293
2025,21,82,35,-2513.6135658654316
2025,21,83,35,194.1275220423504
2025,21,84,35,2947.8036067640596
2025,21,85,35,2928.857155544808
2025,21,86,35,2297.640285356238
2025,21,87,35,1275.921469503237
2025,21,88,35,36.51076581246455
2025,21,89,35,-564.8296728658407
2025,21,90,35,-3824.442123807431
2025,21,91,35,-5000.0
2025,21,92,35,-5000.0
2025,21,93,35,-5000.0
2025,21,94,35,-5000.0
2025,21,95,35,-5000.0
2025,21,96,35,-5000.0
2025,21,97,35,-5000.0
2025,21,98,35,-5000.0
2025,21,99,35,-5000.0
2025,21,100,35,-5000.0
2025,21,101,35,-5000.0
2025,21,102,35,-5000.0
2025,21,103,35,-5000.0
2025,21,104,35,-5000.0
2025,21,105,35,-4001.171805336139
2025,21,106,35,-4107.187961191848
2025,21,107,35,-577.474003871208
2025,21,108,35,2414.5125146903642
2025,21,109,35,2123.296141952212
2025,21,110,35,1565.3277925622317
2025,21,111,35,903.441239298535
2025,21,112,35,-500.5043542173198
2025,21,113,35,-4636.799265276436
2025,21,114,35,-5000.0
2025,21,115,35,-5000.0
2025,21,116,35,-5000.0
2025,21,117,35,-5000.0
2025,21,118,35,-5000.0
2025,21,119,35,-5000.0
2025,21,120,35,-5000.0
2025,21,121,35,-5000.0
2025,21,122,35,-5000.0
2025,21,123,35,-5000.0
2025,21,124,35,-5000.0
2025,21,125,35,-5000.0
2025,21,126,35,-5000.0
2025,21,127,35,-5000.0
2025,21,128,35,-5000.0
2025,21,129,35,-2584.0555911236283
2025,21,130,35,-2976.8153885867646
2025,21,131,35,-845.8927990341667
2025,21,132,35,1587.2866045525593
2025,21,133,35,1635.9237379470326
2025,21,134,35,715.7028562118053
2025,21,135,35,-228.39578165290055
2025,21,136,35,-1273.885182029996
2025,21,137,35,-5000.0
2025,21,138,35,-5000.0
2025,21,139,35,-5000.0
2025,21,140,35,-5000.0
2025,21,141,35,-5000.0
2025,21,142,35,-5000.0
2025,21,143,35,-5000.0
2025,21,144,35,-5000.0
2025,21,145,35,-5000.0
2025,21,146,35,-5000.0
2025,21,147,35,-5000.0
2025,21,148,35,-5000.0
2025,21,149,35,-5000.0
2025,21,150,35,-5000.0
2025,21,151,35,-5000.0
2025,21,152,35,-5000.0
2025,21,153,35,-5000.0
2025,21,154,35,-5000.0
2025,21,155,35,-4770.658127368849
2025,21,156,35,-4355.736367695523
2025,21,157,35,-3219.385521684001
2025,21,158,35,-3213.252929336788
2025,21,159,35,-4632.504574910588
2025,21,160,35,-5000.0
2025,21,161,35,-5000.0
2025,21,162,35,-5000.0
2025,21,163,35,-5000.0
2025,21,164,35,-5000.0
2025,21,165,35,-5000.0
2025,21,166,35,-5000.0
2025,21,167,35,-5000.0
2025,42,0,35,-5000.0
2025,42,1,35,-5000.0
2025,42,2,35,-5000.0
2025,42,3,35,-5000.0
2025,42,4,35,-4751.169087675928
2025,42,5,35,-4180.772793142474
2025,42,6,35,-3725.5956825394132
2025,42,7,35,-3143.357676272882
2025,42,8,35,-3173.019655647392
2025,42,9,35,-3357.8786406051017
2025,42,10,35,-3496.432612740103
2025,42,11,35,-3543.879690232686
2025,42,12,35,-4065.5378148458594
2025,42,13,35,-4276.885783003121
2025,42,14,35,-4310.80656642167
2025,42,15,35,-3919.4367412580523
2025,42,16,35,-3844.029446491044
2025,42,17,35,-3477.263315051026
2025,42,18,35,-2959.373532386298
2025,42,19,35,-3275.381383873303
2025,42,20,35,-3725.085831587224
2025,42,21,35,-4233.398493135348
2025,42,22,35,-4772.562894569842
2025,42,23,35,-5000.0
2025,42,24,35,-5000.0
2025,42,25,35,-5000.0
2025,42,26,35,-5000.0
2025,42,27,35,-5000.0
2025,42,28,35,-5000.0
2025,42,29,35,-5000.0
2025,42,30,35,-5000.0
2025,42,31,35,-4387.287355568052
2025,42,32,35,-4182.853226185131
2025,42,33,35,-4336.025925885875
2025,42,34,35,-4345.069984242636
2025,42,35,35,-4248.680164289102
2025,42,36,35,-1329.8965288221707
2025,42,37,35,-382.1316306998806
2025,42,38,35,-1020.2997832940446
2025,42,39,35,-3557.713270135506
2025,42,40,35,-4370.315773266366
2025,42,41,35,-3915.7202599271145
