year,week,hour,branch,bound,dual_value
2025,21,0,35,min,0.0
2025,21,0,35,max,0.0
2025,21,1,35,min,0.0
2025,21,1,35,max,0.0
2025,21,2,35,min,0.0
2025,21,2,35,max,0.0
2025,21,3,35,min,0.0
2025,21,3,35,max,0.0
2025,21,4,35,min,0.0
2025,21,4,35,max,0.0
2025,21,5,35,min,0.0
2025,21,5,35,max,0.0
2025,21,6,35,min,0.0
2025,21,6,35,max,0.0
2025,21,7,35,min,0.0
2025,21,7,35,max,0.0
2025,21,8,35,min,0.0
2025,21,8,35,max,0.0
2025,21,9,35,min,0.0
2025,21,9,35,max,0.0
2025,21,10,35,min,0.0
2025,21,10,35,max,0.0
2025,21,11,35,min,0.0
2025,21,11,35,max,0.0
2025,21,12,35,min,0.0
2025,21,12,35,max,0.0
2025,21,13,35,min,0.0
2025,21,13,35,max,0.0
2025,21,14,35,min,0.0
2025,21,14,35,max,0.0
2025,21,15,35,min,0.0
2025,21,15,35,max,0.0
2025,21,16,35,min,0.0
2025,21,16,35,max,0.0
2025,21,17,35,min,2.3378062786788276
2025,21,17,35,max,0.0
2025,21,18,35,min,2.3378062786788276
2025,21,18,35,max,0.0
2025,21,19,35,min,3.0132170032398213
2025,21,19,35,max,0.0
2025,21,20,35,min,3.0132170032398213
2025,21,20,35,max,0.0
2025,21,21,35,min,2.3378062786788276
2025,21,21,35,max,0.0
2025,21,22,35,min,2.3378062786788276
2025,21,22,35,max,0.0
2025,21,23,35,min,2.3378062786788276
2025,21,23,35,max,0.0
2025,21,24,35,min,-0.0
2025,21,24,35,max,0.0
2025,21,25,35,min,0.0
2025,21,25,35,max,0.0
2025,21,26,35,min,0.0
2025,21,26,35,max,0.0
2025,21,27,35,min,-0.0
2025,21,27,35,max,0.0
2025,21,28,35,min,2.3378062786788276
2025,21,28,35,max,0.0
2025,21,29,35,min,-0.0
2025,21,29,35,max,0.0
2025,21,30,35,min,0.0
2025,21,30,35,max,0.0
2025,21,31,35,min,0.0
2025,21,31,35,max,0.0
2025,21,32,35,min,0.0
2025,21,32,35,max,0.0
2025,21,33,35,min,0.0
2025,21,33,35,max,0.0
2025,21,34,35,min,0.0
2025,21,34,35,max,0.0
2025,21,35,35,min,0.0
2025,21,35,35,max,0.0
2025,21,36,35,min,0.0
2025,21,36,35,max,0.0
2025,21,37,35,min,0.0
2025,21,37,35,max,0.0
2025,21,38,35,min,0.0
2025,21,38,35,max,0.0
2025,21,39,35,min,0.0
2025,21,39,35,max,0.0
2025,21,40,35,min,0.0
2025,21,40,35,max,0.0
2025,21,41,35,min,0.0
2025,21,41,35,max,0.0
2025,21,42,35,min,0.0
2025,21,42,35,max,0.0
2025,21,43,35,min,0.0
2025,21,43,35,max,0.0
2025,21,44,35,min,0.0
2025,21,44,35,max,0.0
2025,21,45,35,min,0.0
2025,21,45,35,max,0.0
2025,21,46,35,min,0.0
2025,21,46,35,max,0.0
2025,21,47,35,min,0.0
2025,21,47,35,max,0.0
2025,21,48,35,min,0.0
2025,21,48,35,max,0.0
2025,21,49,35,min,0.0
2025,21,49,35,max,0.0
2025,21,50,35,min,0.0
2025,21,50,35,max,0.0
2025,21,51,35,min,0.0
2025,21,51,35,max,0.0
2025,21,52,35,min,0.0
2025,21,52,35,max,0.0
2025,21,53,35,min,0.0
2025,21,53,35,max,0.0
2025,21,54,35,min,0.0
2025,21,54,35,max,0.0
2025,21,55,35,min,0.0
2025,21,55,35,max,0.0
2025,21,56,35,min,0.0
2025,21,56,35,max,0.0
2025,21,57,35,min,0.0
2025,21,57,35,max,0.0
2025,21,58,35,min,0.0
2025,21,58,35,max,0.0
2025,21,59,35,min,0.0
2025,21,59,35,max,0.0
2025,21,60,35,min,0.0
2025,21,60,35,max,0.0
2025,21,61,35,min,0.0
2025,21,61,35,max,0.0
2025,21,62,35,min,0.0
2025,21,62,35,max,0.0
2025,21,63,35,min,0.0
2025,21,63,35,max,0.0
2025,21,64,35,min,0.0
2025,21,64,35,max,0.0
2025,21,65,35,min,0.0
2025,21,65,35,max,0.0
2025,21,66,35,min,0.0
2025,21,66,35,max,0.0
2025,21,67,35,min,0.0
2025,21,67,35,max,0.0
2025,21,68,35,min,0.0
2025,21,68,35,max,0.0
2025,21,69,35,min,0.0
2025,21,69,35,max,0.0
2025,21,70,35,min,0.0
2025,21,70,35,max,0.0
2025,21,71,35,min,0.0
2025,21,71,35,max,0.0
2025,21,72,35,min,0.0
2025,21,72,35,max,0.0
2025,21,73,35,min,0.0
2025,21,73,35,max,0.0
2025,21,74,35,min,0.0
2025,21,74,35,max,0.0
2025,21,75,35,min,0.0
2025,21,75,35,max,0.0
2025,21,76,35,min,0.0
2025,21,76,35,max,0.0
2025,21,77,35,min,0.0
2025,21,77,35,max,0.0
2025,21,78,35,min,0.0
2025,21,78,35,max,0.0
2025,21,79,35,min,0.0
2025,21,79,35,max,0.0
2025,21,80,35,min,0.0
2025,21,80,35,max,0.0
2025,21,81,35,min,0.0
2025,21,81,35,max,0.0
2025,21,82,35,min,0.0
2025,21,82,35,max,0.0
2025,21,83,35,min,0.0
