generator,value
AL1 0 offwind-ac new,1.0
AL1 0 oil new,1.0
AL1 0 onwind new,0.0
AL1 0 ror new,1.0
AL1 0 solar new,1.0
AT1 0 CCGT new,0.0
AT1 0 OCGT new,0.0
AT1 0 coal new,0.0
AT1 0 onwind new,1.0
AT1 0 ror new,1.0
AT1 0 solar new,1.0
BA1 0 onwind new,1.0
BA1 0 solar new,1.0
BE1 0 CCGT new,0.0
BE1 0 OCGT new,0.0
BE1 0 biomass new,1.0
BE1 0 coal new,1.0
BE1 0 nuclear new,1.0
BE1 0 offwind-ac new,1.0
BE1 0 offwind-dc new,1.0
BE1 0 oil new,1.0
BE1 0 onwind new,1.0
BE1 0 ror new,1.0
BE1 0 solar new,1.0
BG1 0 CCGT new,1.0
BG1 0 coal new,1.0
BG1 0 lignite new,1.0
BG1 0 nuclear new,0.0
BG1 0 offwind-ac new,1.0
BG1 0 offwind-dc new,0.0
BG1 0 onwind new,1.0
BG1 0 ror new,1.0
BG1 0 solar new,1.0
CH1 0 CCGT new,1.0
CH1 0 biomass new,1.0
CH1 0 nuclear new,1.0
CH1 0 onwind new,1.0
CH1 0 ror new,0.0
CH1 0 solar new,1.0
CZ1 0 CCGT new,1.0
CZ1 0 OCGT new,1.0
CZ1 0 biomass new,1.0
CZ1 0 coal new,0.0
CZ1 0 lignite new,1.0
CZ1 0 nuclear new,1.0
CZ1 0 onwind new,1.0
CZ1 0 ror new,1.0
CZ1 0 solar new,1.0
DE1 0 CCGT new,0.0
DE1 0 OCGT new,1.0
DE1 0 biomass new,1.0
DE1 0 coal new,1.0
DE1 0 lignite new,1.0
DE1 0 nuclear new,1.0
DE1 0 offwind-ac new,1.0
DE1 0 offwind-dc new,1.0
DE1 0 oil new,0.0
DE1 0 onwind new,0.0
DE1 0 ror new,1.0
DE1 0 solar new,0.0
DK1 0 CCGT new,1.0
DK1 0 OCGT new,1.0
DK1 0 biomass new,1.0
DK1 0 coal new,1.0
DK1 0 offwind-ac new,1.0
DK1 0 offwind-dc new,1.0
DK1 0 onwind new,1.0
DK1 0 solar new,0.0
DK2 0 CCGT new,1.0
DK2 0 OCGT new,1.0
DK2 0 biomass new,1.0
DK2 0 coal new,1.0
DK2 0 offwind-ac new,0.0
DK2 0 offwind-dc new,1.0
DK2 0 onwind new,1.0
DK2 0 solar new,1.0
EE6 0 CCGT new,1.0
EE6 0 offwind-ac new,1.0
EE6 0 offwind-dc new,0.0
EE6 0 onwind new,1.0
EE6 0 solar new,1.0
ES1 0 CCGT new,0.0
ES1 0 OCGT new,1.0
ES1 0 biomass new,1.0
ES1 0 coal new,1.0
ES1 0 nuclear new,1.0
ES1 0 offwind-ac new,0.0
ES1 0 offwind-dc new,0.0
ES1 0 oil new,1.0
ES1 0 onwind new,1.0
ES1 0 ror new,1.0
ES1 0 solar new,1.0
ES4 0 CCGT new,1.0
ES4 0 coal new,1.0
ES4 0 offwind-ac new,1.0
ES4 0 offwind-dc new,0.0
ES4 0 oil new,1.0
ES4 0 onwind new,1.0
ES4 0 solar new,1.0
FI2 0 CCGT new,1.0
FI2 0 OCGT new,1.0
FI2 0 biomass new,1.0
FI2 0 coal new,1.0
FI2 0 lignite new,1.0
FI2 0 nuclear new,1.0
FI2 0 offwind-ac new,0.0
FI2 0 offwind-dc new,1.0
FI2 0 oil new,1.0
FI2 0 onwind new,1.0
FI2 0 ror new,1.0
FI2 0 solar new,1.0
FR1 0 CCGT new,1.0
FR1 0 OCGT new,0.0
FR1 0 biomass new,1.0
FR1 0 coal new,1.0
FR1 0 nuclear new,0.0
FR1 0 offwind-ac new,0.0
FR1 0 offwind-dc new,0.0
FR1 0 oil new,0.0
FR1 0 onwind new,1.0
FR1 0 ror new,1.0
FR1 0 solar new,1.0
GB0 0 CCGT new,1.0
GB0 0 OCGT new,0.0
GB0 0 biomass new,1.0
GB0 0 coal new,0.0
GB0 0 nuclear new,0.0
GB0 0 offwind-ac new,0.0
GB0 0 offwind-dc new,1.0
GB0 0 oil new,1.0
GB0 0 onwind new,1.0
GB0 0 ror new,1.0
GB0 0 solar new,0.0
GB5 0 CCGT new,0.0
GB5 0 biomass new,1.0
GB5 0 coal new,1.0
GB5 0 offwind-ac new,1.0
GB5 0 offwind-dc new,1.0
GB5 0 onwind new,0.0
GB5 0 solar new,1.0
GR1 0 CCGT new,1.0
GR1 0 lignite new,1.0
GR1 0 offwind-ac new,1.0
GR1 0 offwind-dc new,0.0
GR1 0 oil new,1.0
GR1 0 onwind new,1.0
GR1 0 ror new,1.0
GR1 0 solar new,1.0
HR1 0 CCGT new,1.0
HR1 0 OCGT new,1.0
HR1 0 offwind-ac new,0.0
HR1 0 offwind-dc new,0.0
HR1 0 onwind new,1.0
HR1 0 ror new,1.0
HR1 0 solar new,1.0
HU1 0 CCGT new,0.0
HU1 0 OCGT new,0.0
HU1 0 biomass new,1.0
HU1 0 coal new,1.0
HU1 0 lignite new,1.0
HU1 0 nuclear new,1.0
HU1 0 oil new,1.0
HU1 0 onwind new,1.0
HU1 0 ror new,1.0
HU1 0 solar new,1.0
IE5 0 CCGT new,0.0
IE5 0 coal new,0.0
IE5 0 lignite new,1.0
IE5 0 offwind-ac new,1.0
IE5 0 offwind-dc new,1.0
IE5 0 oil new,1.0
IE5 0 onwind new,0.0
IE5 0 ror new,1.0
IE5 0 solar new,1.0
IT1 0 CCGT new,0.0
