dual,year,scenario,total_duals,nonzero_duals,percent_nonzero,average_dual
battery_charge_new_max_duals,2025,NT,3696,30,0.8116883116883116,-0.09402854771996158
battery_charge_new_max_duals,2030,NT,3696,162,4.383116883116883,-0.2517479156631662
battery_charge_new_max_duals,2040,DE,3696,210,5.681818181818182,-0.0024662172251494626
battery_charge_new_max_duals,2040,GA,3696,253,6.845238095238096,-0.013037571456300304
battery_charge_new_max_duals,2040,NT,3696,214,5.7900432900432905,-0.002065935110694562
battery_charge_new_max_duals,2050,DE,3696,95,2.5703463203463204,-0.00349338105462384
battery_charge_new_max_duals,2050,GA,3696,68,1.83982683982684,-0.001390786854834041
battery_discharge_new_max_duals,2025,NT,3696,76,2.0562770562770565,-0.3891874234706576
battery_discharge_new_max_duals,2030,NT,3696,117,3.1655844155844153,-0.4907814186173897
battery_discharge_new_max_duals,2040,DE,3696,38,1.0281385281385282,-0.11414808596853002
battery_discharge_new_max_duals,2040,GA,3696,45,1.2175324675324677,-0.1570129796100004
battery_discharge_new_max_duals,2040,NT,3696,41,1.1093073593073595,-0.11175910780343447
battery_discharge_new_max_duals,2050,DE,3696,31,0.8387445887445888,-0.16098454020614814
battery_discharge_new_max_duals,2050,GA,3696,23,0.6222943722943723,-0.16004117124133294
branch_extension_duals,2025,All,19,1,5.263157894736842,-141.99087801204496
branch_extension_duals,2030,All,19,0,0.0,0.0
branch_extension_duals,2040,All,19,0,0.0,0.0
branch_extension_duals,2050,All,19,0,0.0,0.0
branch_flow_new_duals,2025,NT,12768,3148,24.655388471177943,0.054931230068411566
branch_flow_new_duals,2030,NT,12768,3155,24.710213032581454,0.03494038694132651
branch_flow_new_duals,2040,DE,12768,3169,24.81986215538847,0.003605621955893102
branch_flow_new_duals,2040,GA,12768,3178,24.890350877192983,0.008650213359774866
branch_flow_new_duals,2040,NT,12768,3160,24.74937343358396,0.0032704595435736564
branch_flow_new_duals,2050,DE,12768,3178,24.890350877192983,0.00787168060906424
branch_flow_new_duals,2050,GA,12768,3175,24.86685463659148,0.009929520922985276
branch_flow_old_duals,2025,NT,12768,3141,24.600563909774436,0.05493123006841157
branch_flow_old_duals,2030,NT,12768,3155,24.710213032581454,0.03494038694132651
branch_flow_old_duals,2040,DE,12768,3155,24.710213032581454,0.003605621955893084
branch_flow_old_duals,2040,GA,12768,3178,24.890350877192983,0.008650213359774866
branch_flow_old_duals,2040,NT,12768,3160,24.74937343358396,0.0032704595435736564
branch_flow_old_duals,2050,DE,12768,3158,24.733709273182956,0.007871680609064211
branch_flow_old_duals,2050,GA,12768,3167,24.80419799498747,0.00992952092298527
emissions_duals,2025,NT,1,0,0.0,0.0
emissions_duals,2030,NT,1,0,0.0,0.0
emissions_duals,2040,DE,1,0,0.0,0.0
emissions_duals,2040,GA,1,0,0.0,0.0
emissions_duals,2040,NT,1,0,0.0,0.0
emissions_duals,2050,DE,1,0,0.0,0.0
emissions_duals,2050,GA,1,0,0.0,0.0
gen_extension_duals,2025,All,51,18,35.294117647058826,-23512.79808735264
gen_extension_duals,2030,All,51,14,27.450980392156865,-6725.416520201529
gen_extension_duals,2040,All,51,7,13.725490196078432,-618.2783940390605
gen_extension_duals,2050,All,51,0,0.0,0.0
gen_output_new_duals,2025,NT,17136,12068,70.42483660130719,-42.66455346784134
gen_output_new_duals,2030,NT,17136,10538,61.49626517273576,-19.864661600434612
gen_output_new_duals,2040,DE,17136,10887,63.5329131652661,-9.47789631127352
gen_output_new_duals,2040,GA,17136,10123,59.074463118580766,-5.47815667872347
gen_output_new_duals,2040,NT,17136,10729,62.61087768440709,-7.234564048579708
gen_output_new_duals,2050,DE,17136,11540,67.34360410830999,-19.1388399296792
gen_output_new_duals,2050,GA,17136,10693,62.40079365079365,-10.739015555616563
gen_output_old_duals,2025,NT,17136,12067,70.41900093370683,-28.349370626093332
gen_output_old_duals,2030,NT,17136,10537,61.49042950513539,-19.85217117826876
gen_output_old_duals,2040,DE,17136,10886,63.52707749766573,-9.065265960432143
gen_output_old_duals,2040,GA,17136,10122,59.068627450980394,-5.361533805297249
gen_output_old_duals,2040,NT,17136,10728,62.60504201680672,-7.172485755342665
gen_output_old_duals,2050,DE,17136,11540,67.34360410830999,-19.056490829848208
gen_output_old_duals,2050,GA,17136,10693,62.40079365079365,-9.528025934274218
load_shedding_duals,2025,NT,3696,0,0.0,0.0
load_shedding_duals,2030,NT,3696,0,0.0,0.0
load_shedding_duals,2040,DE,3696,0,0.0,0.0
load_shedding_duals,2040,GA,3696,0,0.0,0.0
load_shedding_duals,2040,NT,3696,0,0.0,0.0
load_shedding_duals,2050,DE,3696,0,0.0,0.0
load_shedding_duals,2050,GA,3696,0,0.0,0.0
power_balance_duals,2025,NT,3696,3696,100.0,41.213852085879914
power_balance_duals,2030,NT,3696,3696,100.0,28.85177688604479
power_balance_duals,2040,DE,3696,3696,100.0,12.298533453366229
power_balance_duals,2040,GA,3696,3696,100.0,7.784563476753613
power_balance_duals,2040,NT,3696,3696,100.0,10.361045281255315
power_balance_duals,2050,DE,3696,3696,100.0,24.617453411628272
power_balance_duals,2050,GA,3696,3696,100.0,13.83013933078467
