year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,60900.664000000004,3232.3093511924158,11,1,320088255.42160773,72862146.4833099,14572429.29666198,2837300896.8292327,1238656490.216268,4075957387.0455008,4396045642.467109
2025,coal,9478.786965467825,0.0,5,0,0.0,3036386.469252052,1032371.3995456976,85616897.2617889,87751568.9613843,173368466.2231732,173368466.2231732
2025,offwind-ac,27469.304443667334,12558.561170244493,9,3,2319908691.7714376,49573457.77295309,0.0,743601.8665942963,0.0,743601.8665942963,2320652293.638032
2025,onwind,64079.00668944659,30186.830176907057,11,5,2900528384.056031,76044285.65656054,0.0,1140664.2848484057,0.0,1140664.2848484057,2901669048.3408794
2025,ror,5571.016495,0.0,4,0,0.0,4195183.521741389,0.0,0.0,0.0,0.0,0.0
2025,solar,25414.038546077332,25414.038546077332,11,11,904792410.9102377,61108239.995829575,0.0,611082.3999582957,0.0,611082.3999582957,905403493.3101959
2030,CCGT,60900.664000000004,0.0,11,0,0.0,46783015.799683936,9356603.159936788,1823906671.3799403,795311268.5946269,2619217939.9745674,2619217939.9745674
2030,coal,9478.786965467825,0.0,5,0,0.0,2843335.6736053983,966734.1290258355,80173449.82696432,82172400.96719602,162345850.79416034,162345850.79416034
2030,offwind-ac,27469.304443667334,5105.357786986724,9,2,938380423.4349699,52516803.10860963,0.0,787752.0466291446,0.0,787752.0466291446,939168175.4815991
2030,onwind,64079.00668944659,16021.999254519476,11,2,1539488026.2257419,83544676.245118,0.0,1253170.1436767667,0.0,1253170.1436767667,1540741196.3694186
2030,ror,5571.016495,0.0,4,0,0.0,4195183.521741389,0.0,0.0,0.0,0.0,0.0
2030,solar,25414.038546077332,25414.038546077332,11,11,904792410.9102377,96648414.38019669,0.0,966484.1438019669,0.0,966484.1438019669,905758895.0540396
2040,CCGT,60900.664000000004,0.0,11,0,0.0,53997376.01499382,10799475.202998763,2116550203.7255013,917955392.254895,3034505595.9803963,3034505595.9803963
2040,coal,9478.786965467825,0.0,5,0,0.0,4412084.651068287,1500108.7813632179,124407417.20663762,127509246.41587351,251916663.62251115,251916663.62251115
2040,offwind-ac,27469.304443667334,3050.563137135769,9,1,561418081.0788631,58752187.08154771,0.0,881282.8062232157,0.0,881282.8062232157,562299363.8850864
2040,onwind,64079.00668944659,7666.034391617716,11,1,736597722.1101904,97463190.08680445,0.0,1461947.851302062,0.0,1461947.851302062,738059669.9614924
2040,ror,5571.016495,0.0,4,0,0.0,4195183.521741388,0.0,0.0,0.0,0.0,0.0
2040,solar,25414.038546077332,17813.185856585576,11,7,634186311.9452896,123044860.01805267,0.0,1230448.6001805267,0.0,1230448.6001805267,635416760.5454701
2050,CCGT,60900.664000000004,0.0,11,0,0.0,60322400.173639536,12064480.034727907,2366803149.3199754,1025480802.9518721,3392283952.2718477,3392283952.2718477
2050,coal,9478.786965467825,0.0,5,0,0.0,5330438.060244136,1812348.9404830064,150302200.45627782,154049659.94105554,304351860.3973334,304351860.3973334
2050,offwind-ac,27469.304443667334,0.0,9,0,0.0,64013666.58656646,0.0,960204.9987984968,0.0,960204.9987984968,960204.9987984968
2050,onwind,64079.00668944659,0.0,11,0,0.0,102600895.66087018,0.0,1539013.4349130478,0.0,1539013.4349130478,1539013.4349130478
2050,ror,5571.016495,0.0,4,0,0.0,4195183.521741389,0.0,0.0,0.0,0.0,0.0
2050,solar,25414.038546077332,0.0,11,0,0.0,127672668.72642173,0.0,1276726.6872642173,0.0,1276726.6872642173,1276726.6872642173
