scenario,year,week,hour,branch,bound,dual_value
NT,2025,21,0,88,min,0.19674562737138254
NT,2025,21,0,88,max,0.0
NT,2025,21,1,88,min,0.4916189793022505
NT,2025,21,1,88,max,0.0
NT,2025,21,2,88,min,0.19674562737138254
NT,2025,21,2,88,max,0.0
NT,2025,21,3,88,min,0.19674562737138254
NT,2025,21,3,88,max,0.0
NT,2025,21,4,88,min,0.0
NT,2025,21,4,88,max,0.0
NT,2025,21,5,88,min,0.0
NT,2025,21,5,88,max,0.0
NT,2025,21,6,88,min,0.0
NT,2025,21,6,88,max,0.0
NT,2025,21,7,88,min,0.0
NT,2025,21,7,88,max,0.0
NT,2025,21,8,88,min,0.7375286830191738
NT,2025,21,8,88,max,0.0
NT,2025,21,9,88,min,1.4647225301935514
NT,2025,21,9,88,max,0.0
NT,2025,21,10,88,min,0.7375286830191738
NT,2025,21,10,88,max,0.0
NT,2025,21,11,88,min,0.7375286830191738
NT,2025,21,11,88,max,0.0
NT,2025,21,12,88,min,1.4647225301935514
NT,2025,21,12,88,max,0.0
NT,2025,21,13,88,min,1.586302109875512
NT,2025,21,13,88,max,0.0
NT,2025,21,14,88,min,1.5770980710852036
NT,2025,21,14,88,max,0.0
NT,2025,21,15,88,min,1.7330090134542893
NT,2025,21,15,88,max,0.0
NT,2025,21,16,88,min,1.7337288560668924
NT,2025,21,16,88,max,0.0
NT,2025,21,17,88,min,1.7382426098222423
NT,2025,21,17,88,max,0.0
NT,2025,21,18,88,min,1.4647225301935514
NT,2025,21,18,88,max,0.0
NT,2025,21,19,88,min,0.8918455556100388
NT,2025,21,19,88,max,0.0
NT,2025,21,20,88,min,1.4647225301935514
NT,2025,21,20,88,max,0.0
NT,2025,21,21,88,min,1.7382426098222423
NT,2025,21,21,88,max,0.0
NT,2025,21,22,88,min,1.7382426098222423
NT,2025,21,22,88,max,0.0
NT,2025,21,23,88,min,1.7337288560668924
NT,2025,21,23,88,max,0.0
NT,2025,21,24,88,min,1.7337288560668924
NT,2025,21,24,88,max,0.0
NT,2025,21,25,88,min,1.7337288560668924
NT,2025,21,25,88,max,0.0
NT,2025,21,26,88,min,1.7382426098222423
NT,2025,21,26,88,max,0.0
NT,2025,21,27,88,min,1.7382426098222423
NT,2025,21,27,88,max,0.0
NT,2025,21,28,88,min,1.4647225301935514
NT,2025,21,28,88,max,0.0
