scenario,year,week,hour,branch,value
NT,2025,21,0,35,-2173.672705598502
NT,2025,21,1,35,-2070.6552031791516
NT,2025,21,2,35,-2017.4955260317784
NT,2025,21,3,35,-2011.8804353249998
NT,2025,21,4,35,-2185.4640335005843
NT,2025,21,5,35,-2057.452045509105
NT,2025,21,6,35,-1718.5175049340942
NT,2025,21,7,35,-1539.5313723831823
NT,2025,21,8,35,-2208.401925198381
NT,2025,21,9,35,-2830.4981996294064
NT,2025,21,10,35,-1822.9062319859322
NT,2025,21,11,35,-2256.9586560350335
NT,2025,21,12,35,-2253.192502505257
NT,2025,21,13,35,-2606.951829280062
NT,2025,21,14,35,-3448.8332734478363
NT,2025,21,15,35,-4965.676963771665
NT,2025,21,16,35,-7420.1960152185275
NT,2025,21,17,35,-9868.993736701424
NT,2025,21,18,35,-11222.568834025818
NT,2025,21,19,35,-11614.701642442587
NT,2025,21,20,35,-12767.965574779513
NT,2025,21,21,35,-12694.221864224142
NT,2025,21,22,35,-11688.648086120678
NT,2025,21,23,35,-12022.561926483031
NT,2025,21,24,35,-11476.015045621207
NT,2025,21,25,35,-11021.700003807566
NT,2025,21,26,35,-10020.64341053313
NT,2025,21,27,35,-9347.744427915288
NT,2025,21,28,35,-8609.089380743722
NT,2025,21,29,35,-7268.289200277239
NT,2025,21,30,35,-5875.538462089266
NT,2025,21,31,35,-4269.40155131026
NT,2025,21,32,35,-4028.134889744071
NT,2025,21,33,35,-4070.719709006782
NT,2025,21,34,35,-2600.18576769583
NT,2025,21,35,35,-3172.319844601373
NT,2025,21,36,35,-3703.5997315944505
NT,2025,21,37,35,-4787.4758652408555
NT,2025,21,38,35,-3759.6728169088346
NT,2025,21,39,35,-3838.5030822244717
NT,2025,21,40,35,-5404.591819788417
NT,2025,21,41,35,-6479.804739127789
NT,2025,21,42,35,-9623.780710373956
NT,2025,21,43,35,-8170.5174445986995
NT,2025,21,44,35,-7526.5477842079
NT,2025,21,45,35,-6921.960416918151
NT,2025,21,46,35,-6563.215946679586
NT,2025,21,47,35,-5942.444656185658
NT,2025,21,48,35,-5339.383613827546
NT,2025,21,49,35,-4721.958101434927
NT,2025,21,50,35,-4141.249550336706
NT,2025,21,51,35,-3453.9835418924085
NT,2025,21,52,35,-3317.625088947081
NT,2025,21,53,35,-2928.538075580821
NT,2025,21,54,35,-2039.5630291674988
NT,2025,21,55,35,-1406.0360987594013
NT,2025,21,56,35,2688.573578571008
NT,2025,21,57,35,2348.207847314713
NT,2025,21,58,35,1511.8003083706321
NT,2025,21,59,35,517.5078151342261
NT,2025,21,60,35,-399.0168980473868
NT,2025,21,61,35,-1304.805425844751
NT,2025,21,62,35,-2316.2361665235303
NT,2025,21,63,35,-3361.141268114873
NT,2025,21,64,35,-5105.916656129222
NT,2025,21,65,35,-6163.709507337859
NT,2025,21,66,35,-6245.8668018419485
NT,2025,21,67,35,-5827.855350399183
NT,2025,21,68,35,-5505.1006726859
NT,2025,21,69,35,-4928.827381717128
NT,2025,21,70,35,-3652.653600712034
NT,2025,21,71,35,-3293.885998785134
NT,2025,21,72,35,-3100.924900652981
NT,2025,21,73,35,-2938.3172412161503
NT,2025,21,74,35,-2622.028309464027
NT,2025,21,75,35,-2241.3142334726917
NT,2025,21,76,35,-3444.2006192723147
NT,2025,21,77,35,-5178.251587330071
NT,2025,21,78,35,-3878.446865604239
NT,2025,21,79,35,-2582.5796218159667
NT,2025,21,80,35,1858.418185715289
NT,2025,21,81,35,1498.8899346608418
NT,2025,21,82,35,1410.0483665047886
NT,2025,21,83,35,760.5296420546513
NT,2025,21,84,35,487.60121725041995
NT,2025,21,85,35,-56.79452753826445
NT,2025,21,86,35,-995.3671414304717
NT,2025,21,87,35,-2492.001149699845
NT,2025,21,88,35,-4214.917529381766
NT,2025,21,89,35,-5107.789573680038
NT,2025,21,90,35,-5183.438263180914
NT,2025,21,91,35,-4938.195722552457
NT,2025,21,92,35,-5017.123555677101
NT,2025,21,93,35,-4440.718027840166
NT,2025,21,94,35,-4904.201671531047
NT,2025,21,95,35,-3011.56531375373
NT,2025,21,96,35,-2696.932504187491
NT,2025,21,97,35,-3794.6178374746232
NT,2025,21,98,35,-4843.963545206903
NT,2025,21,99,35,-5854.731142813567
NT,2025,21,100,35,-6376.8029568726415
NT,2025,21,101,35,-5913.772540335523
NT,2025,21,102,35,-4681.7312064093685
NT,2025,21,103,35,-3427.590266457555
NT,2025,21,104,35,207.78347166792219
NT,2025,21,105,35,544.3775550983739
NT,2025,21,106,35,309.8620170982804
NT,2025,21,107,35,-471.04232353457564
NT,2025,21,108,35,-681.6585753243976
NT,2025,21,109,35,-1177.5859632384281
NT,2025,21,110,35,-1973.9841997644025
NT,2025,21,111,35,-2890.2017910442046
NT,2025,21,112,35,-3973.4826188989045
NT,2025,21,113,35,-4431.072943409853
NT,2025,21,114,35,-6097.162139717044
NT,2025,21,115,35,-9338.274952432239
NT,2025,21,116,35,-10029.23215757303
NT,2025,21,117,35,-9537.383025040073
NT,2025,21,118,35,-6954.004700610683
NT,2025,21,119,35,-6933.2133731275335
NT,2025,21,120,35,-7102.698968896129
NT,2025,21,121,35,-7033.882649609035
NT,2025,21,122,35,-6848.108448853571
NT,2025,21,123,35,-6454.783225344359
NT,2025,21,124,35,-6215.913848971022
NT,2025,21,125,35,-5636.513830033638
NT,2025,21,126,35,-5023.315777033007
NT,2025,21,127,35,-4062.8420520397704
NT,2025,21,128,35,367.53159013622985
NT,2025,21,129,35,349.6247234637858
NT,2025,21,130,35,808.4262568597201
NT,2025,21,131,35,409.7329003898219
NT,2025,21,132,35,-15.536977970754378
NT,2025,21,133,35,212.08875638983181
NT,2025,21,134,35,-1717.367627391668
NT,2025,21,135,35,-3940.8169199412587
NT,2025,21,136,35,-4942.6065494855775
NT,2025,21,137,35,-5068.121052110575
NT,2025,21,138,35,-7392.579191953751
NT,2025,21,139,35,-8101.555278877695
NT,2025,21,140,35,-8073.753479234545
NT,2025,21,141,35,-8342.050023511938
NT,2025,21,142,35,-7379.190005914346
NT,2025,21,143,35,-7774.1343537732155
NT,2025,21,144,35,-8016.583994803646
NT,2025,21,145,35,-8368.072511392746
NT,2025,21,146,35,-8414.554361712031
NT,2025,21,147,35,-8157.399651007239
NT,2025,21,148,35,-8169.182290318391
NT,2025,21,149,35,-8306.903765047611
NT,2025,21,150,35,-8201.687678651908
NT,2025,21,151,35,-8418.14615275489
NT,2025,21,152,35,-4769.488260205844
NT,2025,21,153,35,-3576.7310403581077
NT,2025,21,154,35,-1982.3724517077262
NT,2025,21,155,35,-2691.251991377955
NT,2025,21,156,35,-2906.627090144668
NT,2025,21,157,35,-3500.8384959087143
NT,2025,21,158,35,-5254.834594908098
NT,2025,21,159,35,-8370.613767434177
NT,2025,21,160,35,-12040.55192778024
NT,2025,21,161,35,-12950.953228672752
NT,2025,21,162,35,-12457.40971916062
NT,2025,21,163,35,-15199.141102872525
NT,2025,21,164,35,-15353.639762571842
NT,2025,21,165,35,-14538.971695166952
NT,2025,21,166,35,-12219.678657810733
NT,2025,21,167,35,-11889.21393752081
NT,2030,21,0,35,-2393.5201505805016
