scenario,year,week,hour,branch,dual_value
NT,2025,21,0,88,0.0
NT,2025,21,1,88,0.0
NT,2025,21,2,88,0.0
NT,2025,21,3,88,0.0
NT,2025,21,4,88,0.0
NT,2025,21,5,88,0.0
NT,2025,21,6,88,0.0
NT,2025,21,7,88,0.0
NT,2025,21,8,88,0.0
NT,2025,21,9,88,0.0
NT,2025,21,10,88,0.0
NT,2025,21,11,88,0.0
NT,2025,21,12,88,0.0
NT,2025,21,13,88,0.0
NT,2025,21,14,88,0.0
NT,2025,21,15,88,0.0
NT,2025,21,16,88,0.0
NT,2025,21,17,88,0.0
NT,2025,21,18,88,0.0
NT,2025,21,19,88,0.0
NT,2025,21,20,88,0.0
NT,2025,21,21,88,0.0
NT,2025,21,22,88,0.0
NT,2025,21,23,88,0.0
NT,2025,21,24,88,0.0
NT,2025,21,25,88,0.0
NT,2025,21,26,88,0.0
NT,2025,21,27,88,0.0
NT,2025,21,28,88,0.0
NT,2025,21,29,88,0.0
NT,2025,21,30,88,0.0
NT,2025,21,31,88,0.0
NT,2025,21,32,88,0.0
NT,2025,21,33,88,0.0
NT,2025,21,34,88,0.0
NT,2025,21,35,88,0.0
NT,2025,21,36,88,0.0
NT,2025,21,37,88,0.0
NT,2025,21,38,88,0.0
NT,2025,21,39,88,0.0
NT,2025,21,40,88,0.0
NT,2025,21,41,88,0.0
NT,2025,21,42,88,0.0
NT,2025,21,43,88,0.0
NT,2025,21,44,88,0.0
NT,2025,21,45,88,0.0
NT,2025,21,46,88,0.0
NT,2025,21,47,88,0.0
NT,2025,21,48,88,0.0
NT,2025,21,49,88,0.0
NT,2025,21,50,88,0.0
NT,2025,21,51,88,0.0
NT,2025,21,52,88,0.0
NT,2025,21,53,88,0.0
NT,2025,21,54,88,0.0
NT,2025,21,55,88,0.0
NT,2025,21,56,88,0.0
NT,2025,21,57,88,0.0
NT,2025,21,58,88,0.0
NT,2025,21,59,88,0.0
NT,2025,21,60,88,0.0
NT,2025,21,61,88,0.0
