scenario,year,week,hour,branch,value
NT,2025,5,0,35,-4955.606809579056
NT,2025,5,1,35,-3406.5163313830576
NT,2025,5,2,35,-2881.3782491033967
NT,2025,5,3,35,-2439.081582719031
NT,2025,5,4,35,-1906.5443957284185
NT,2025,5,5,35,-1478.6660686297944
NT,2025,5,6,35,-704.4724883899084
NT,2025,5,7,35,142.21062921760287
NT,2025,5,8,35,1128.7768121978127
NT,2025,5,9,35,1052.2086871470926
NT,2025,5,10,35,730.7264645354453
NT,2025,5,11,35,278.7193699559567
NT,2025,5,12,35,-648.5144755518184
NT,2025,5,13,35,-952.0824814044835
NT,2025,5,14,35,-573.1176562319303
NT,2025,5,15,35,-662.8370927354291
NT,2025,5,16,35,-1801.153395847536
NT,2025,5,17,35,-9069.050259521473
NT,2025,5,18,35,-7929.738554282582
NT,2025,5,19,35,-8045.75125046725
NT,2025,5,20,35,-8073.578476076663
NT,2025,5,21,35,-8308.692764343705
NT,2025,5,22,35,-5198.607534457883
NT,2025,5,23,35,-2812.2723698319473
NT,2025,5,24,35,-1672.3232025712841
NT,2025,5,25,35,-1664.6117471721266
NT,2025,5,26,35,-1745.6081162009948
NT,2025,5,27,35,-2140.243505896747
NT,2025,5,28,35,-1913.0254556261007
NT,2025,5,29,35,-2414.460468143266
NT,2025,5,30,35,-7617.333123420814
NT,2025,5,31,35,-10478.342030019281
NT,2025,5,32,35,-9650.486744434873
NT,2025,5,33,35,-1628.4318695099719
NT,2025,5,34,35,-458.92534111752514
NT,2025,5,35,35,-445.9074991179925
NT,2025,5,36,35,-713.0838405021613
NT,2025,5,37,35,-846.4504638470331
NT,2025,5,38,35,-423.273182088669
NT,2025,5,39,35,-1194.443617725185
NT,2025,5,40,35,-8046.435349874109
NT,2025,5,41,35,-8585.448995102997
NT,2025,5,42,35,-7544.471644559232
NT,2025,5,43,35,-7815.511124737766
NT,2025,5,44,35,-8106.310762168326
NT,2025,5,45,35,-8546.771311203614
NT,2025,5,46,35,-7232.43376514299
NT,2025,5,47,35,-4461.151316650266
NT,2025,5,48,35,-2785.081025058595
NT,2025,5,49,35,-1763.9885172137997
NT,2025,5,50,35,-1159.1668313772766
NT,2025,5,51,35,-1144.6685865846666
NT,2025,5,52,35,-2240.153789907259
NT,2025,5,53,35,-4681.771232539172
NT,2025,5,54,35,-9268.897253214816
NT,2025,5,55,35,-10145.311731468248
NT,2025,5,56,35,-8168.7502190714895
NT,2025,5,57,35,33.16944227438605
NT,2025,5,58,35,-259.12808159478465
NT,2025,5,59,35,-435.8278693130266
NT,2025,5,60,35,-1076.430787911729
NT,2025,5,61,35,-617.6954397015987
NT,2025,5,62,35,-420.59524304157986
NT,2025,5,63,35,-4903.72692471823
NT,2025,5,64,35,-8916.807577609803
NT,2025,5,65,35,-7773.965370889509
NT,2025,5,66,35,-6874.645599673206
NT,2025,5,67,35,-6741.713683318664
NT,2025,5,68,35,-6960.545510064327
NT,2025,5,69,35,-7184.6222465934015
NT,2025,5,70,35,-7135.777814147481
NT,2025,5,71,35,-5366.113740531666
NT,2025,5,72,35,-5106.465448417546
NT,2025,5,73,35,-5851.531991159392
NT,2025,5,74,35,-6945.801444802294
NT,2025,5,75,35,-7989.369017335666
NT,2025,5,76,35,-9271.491454703111
NT,2025,5,77,35,-9260.30400664327
NT,2025,5,78,35,-8841.70258697914
NT,2025,5,79,35,-8369.848147000259
NT,2025,5,80,35,-7664.931769051096
NT,2025,5,81,35,-7053.290887645876
NT,2025,5,82,35,-3788.99062170229
NT,2025,5,83,35,-788.0468365078652
NT,2025,5,84,35,1092.0813398283158
NT,2025,5,85,35,1141.4810695715057
NT,2025,5,86,35,1245.0939873051457
NT,2025,5,87,35,-3485.8636671869504
NT,2025,5,88,35,-7621.219761807228
NT,2025,5,89,35,-6740.628354601126
NT,2025,5,90,35,-5928.09744759383
NT,2025,5,91,35,-6168.887035187162
NT,2025,5,92,35,-6274.766722163579
