dual,total_duals,nonzero_duals,percent_nonzero
battery_charge_new_max_duals,51744,1138,2.199288806431664
battery_charge_old_duals,0,0,0.0
battery_discharge_new_max_duals,51744,675,1.3044990723562153
battery_discharge_old_duals,0,0,0.0
branch_extension_duals,76,1,1.3157894736842104
branch_flow_new_duals_max,89376,9639,10.784774436090226
branch_flow_new_duals_min,89376,34542,38.64795918367347
branch_flow_old_duals_max,89376,9621,10.764634801288937
branch_flow_old_duals_min,89376,34524,38.62781954887218
emissions_duals,7,0,0.0
gen_extension_duals,204,35,17.15686274509804
gen_output_new_duals,239904,146683,61.14237361611311
gen_output_old_duals,239904,146677,61.13987261571295
load_shedding_duals,51744,0,0.0
power_balance_duals,51744,51744,100.0
