lower_bound,upper_bound,count,percent_of_high,percent_of_total
61.406,125.589,0,0.0,0.0
125.589,189.771,0,0.0,0.0
189.771,253.953,2,50.0,0.04251700680272109
253.953,318.134,0,0.0,0.0
318.134,382.316,0,0.0,0.0
382.316,446.498,0,0.0,0.0
446.498,510.68,0,0.0,0.0
510.68,574.862,0,0.0,0.0
574.862,639.044,0,0.0,0.0
639.044,703.225,0,0.0,0.0
703.225,767.407,0,0.0,0.0
767.407,831.589,0,0.0,0.0
831.589,895.771,0,0.0,0.0
895.771,959.953,0,0.0,0.0
959.953,1024.135,0,0.0,0.0
1024.135,1088.317,0,0.0,0.0
1088.317,1152.498,0,0.0,0.0
1152.498,1216.68,0,0.0,0.0
1216.68,1280.862,0,0.0,0.0
1280.862,1345.044,0,0.0,0.0
1345.044,1409.226,0,0.0,0.0
1409.226,1473.408,0,0.0,0.0
1473.408,1537.59,0,0.0,0.0
1537.59,1601.771,0,0.0,0.0
1601.771,1665.953,0,0.0,0.0
1665.953,1730.135,0,0.0,0.0
1730.135,1794.317,0,0.0,0.0
1794.317,1858.499,0,0.0,0.0
1858.499,1922.681,0,0.0,0.0
1922.681,1986.862,0,0.0,0.0
1986.862,2051.044,0,0.0,0.0
2051.044,2115.226,0,0.0,0.0
2115.226,2179.408,0,0.0,0.0
2179.408,2243.59,0,0.0,0.0
2243.59,2307.772,0,0.0,0.0
2307.772,2371.954,0,0.0,0.0
2371.954,2436.135,0,0.0,0.0
2436.135,2500.317,0,0.0,0.0
2500.317,2564.499,0,0.0,0.0
2564.499,2628.681,0,0.0,0.0
2628.681,2692.863,0,0.0,0.0
2692.863,2757.045,0,0.0,0.0
2757.045,2821.226,0,0.0,0.0
2821.226,2885.408,0,0.0,0.0
2885.408,2949.59,0,0.0,0.0
2949.59,3013.772,0,0.0,0.0
3013.772,3077.954,0,0.0,0.0
3077.954,3142.136,0,0.0,0.0
3142.136,3206.318,0,0.0,0.0
3206.318,3270.499,0,0.0,0.0
3270.499,3334.681,0,0.0,0.0
3334.681,3398.863,0,0.0,0.0
3398.863,3463.045,0,0.0,0.0
3463.045,3527.227,0,0.0,0.0
3527.227,3591.409,0,0.0,0.0
3591.409,3655.591,0,0.0,0.0
3655.591,3719.772,0,0.0,0.0
3719.772,3783.954,0,0.0,0.0
3783.954,3848.136,0,0.0,0.0
3848.136,3912.318,0,0.0,0.0
3912.318,3976.5,0,0.0,0.0
3976.5,4040.682,0,0.0,0.0
4040.682,4104.863,0,0.0,0.0
4104.863,4169.045,0,0.0,0.0
4169.045,4233.227,0,0.0,0.0
4233.227,4297.409,0,0.0,0.0
4297.409,4361.591,0,0.0,0.0
4361.591,4425.773,0,0.0,0.0
4425.773,4489.955,0,0.0,0.0
4489.955,4554.136,0,0.0,0.0
4554.136,4618.318,0,0.0,0.0
4618.318,4682.5,0,0.0,0.0
4682.5,4746.682,0,0.0,0.0
4746.682,4810.864,0,0.0,0.0
4810.864,4875.046,0,0.0,0.0
4875.046,4939.227,0,0.0,0.0
4939.227,5003.409,0,0.0,0.0
5003.409,5067.591,0,0.0,0.0
5067.591,5131.773,0,0.0,0.0
5131.773,5195.955,0,0.0,0.0
5195.955,5260.137,0,0.0,0.0
5260.137,5324.319,0,0.0,0.0
5324.319,5388.5,0,0.0,0.0
5388.5,5452.682,0,0.0,0.0
5452.682,5516.864,0,0.0,0.0
5516.864,5581.046,0,0.0,0.0
5581.046,5645.228,0,0.0,0.0
5645.228,5709.41,0,0.0,0.0
5709.41,5773.592,0,0.0,0.0
5773.592,5837.773,0,0.0,0.0
5837.773,5901.955,0,0.0,0.0
5901.955,5966.137,0,0.0,0.0
5966.137,6030.319,0,0.0,0.0
6030.319,6094.501,0,0.0,0.0
6094.501,6158.683,0,0.0,0.0
6158.683,6222.864,0,0.0,0.0
6222.864,6287.046,0,0.0,0.0
6287.046,6351.228,1,25.0,0.021258503401360544
6351.228,6415.41,0,0.0,0.0
6415.41,6479.592,1,25.0,0.021258503401360544
