lower_bound,upper_bound,count,percent_of_high,percent_of_total
61.406,70.968,10,41.66666666666667,0.21258503401360546
70.968,80.53,0,0.0,0.0
80.53,90.091,0,0.0,0.0
90.091,99.652,0,0.0,0.0
99.652,109.214,0,0.0,0.0
109.214,118.775,0,0.0,0.0
118.775,128.336,0,0.0,0.0
128.336,137.898,0,0.0,0.0
137.898,147.459,0,0.0,0.0
147.459,157.02,0,0.0,0.0
157.02,166.582,0,0.0,0.0
166.582,176.143,0,0.0,0.0
176.143,185.704,0,0.0,0.0
185.704,195.266,0,0.0,0.0
195.266,204.827,0,0.0,0.0
204.827,214.388,0,0.0,0.0
214.388,223.949,0,0.0,0.0
223.949,233.511,0,0.0,0.0
233.511,243.072,0,0.0,0.0
243.072,252.633,0,0.0,0.0
252.633,262.195,0,0.0,0.0
262.195,271.756,0,0.0,0.0
271.756,281.317,0,0.0,0.0
281.317,290.879,0,0.0,0.0
290.879,300.44,0,0.0,0.0
300.44,310.001,0,0.0,0.0
310.001,319.563,0,0.0,0.0
319.563,329.124,0,0.0,0.0
329.124,338.685,0,0.0,0.0
338.685,348.247,0,0.0,0.0
348.247,357.808,0,0.0,0.0
357.808,367.369,0,0.0,0.0
367.369,376.931,0,0.0,0.0
376.931,386.492,0,0.0,0.0
386.492,396.053,0,0.0,0.0
396.053,405.615,0,0.0,0.0
405.615,415.176,0,0.0,0.0
415.176,424.737,0,0.0,0.0
424.737,434.299,0,0.0,0.0
434.299,443.86,0,0.0,0.0
443.86,453.421,0,0.0,0.0
453.421,462.983,0,0.0,0.0
462.983,472.544,0,0.0,0.0
472.544,482.105,0,0.0,0.0
482.105,491.666,0,0.0,0.0
491.666,501.228,0,0.0,0.0
501.228,510.789,0,0.0,0.0
510.789,520.35,0,0.0,0.0
520.35,529.912,0,0.0,0.0
529.912,539.473,0,0.0,0.0
539.473,549.034,0,0.0,0.0
549.034,558.596,0,0.0,0.0
558.596,568.157,0,0.0,0.0
568.157,577.718,0,0.0,0.0
577.718,587.28,0,0.0,0.0
587.28,596.841,0,0.0,0.0
596.841,606.402,0,0.0,0.0
606.402,615.964,0,0.0,0.0
615.964,625.525,0,0.0,0.0
625.525,635.086,0,0.0,0.0
635.086,644.648,0,0.0,0.0
644.648,654.209,0,0.0,0.0
654.209,663.77,0,0.0,0.0
663.77,673.332,0,0.0,0.0
673.332,682.893,0,0.0,0.0
682.893,692.454,0,0.0,0.0
692.454,702.016,0,0.0,0.0
702.016,711.577,0,0.0,0.0
711.577,721.138,0,0.0,0.0
721.138,730.7,3,12.5,0.06377551020408163
730.7,740.261,3,12.5,0.06377551020408163
740.261,749.822,0,0.0,0.0
749.822,759.384,0,0.0,0.0
759.384,768.945,0,0.0,0.0
768.945,778.506,0,0.0,0.0
778.506,788.067,0,0.0,0.0
788.067,797.629,0,0.0,0.0
797.629,807.19,0,0.0,0.0
807.19,816.751,0,0.0,0.0
816.751,826.313,0,0.0,0.0
826.313,835.874,0,0.0,0.0
835.874,845.435,0,0.0,0.0
845.435,854.997,0,0.0,0.0
854.997,864.558,0,0.0,0.0
864.558,874.119,0,0.0,0.0
874.119,883.681,0,0.0,0.0
883.681,893.242,0,0.0,0.0
893.242,902.803,0,0.0,0.0
902.803,912.365,0,0.0,0.0
912.365,921.926,0,0.0,0.0
921.926,931.487,0,0.0,0.0
931.487,941.049,0,0.0,0.0
941.049,950.61,0,0.0,0.0
950.61,960.171,0,0.0,0.0
960.171,969.733,0,0.0,0.0
969.733,979.294,0,0.0,0.0
979.294,988.855,0,0.0,0.0
988.855,998.417,4,16.666666666666664,0.08503401360544217
998.417,1007.978,0,0.0,0.0
1007.978,1017.539,4,16.666666666666664,0.08503401360544217
