year,carrier,potential_capacity,new_capacity,number_possible_buildouts,number_actual_buildouts,cost_of_buildout,total_production,total_co2_emissions,total_production_cost,total_co2_emission_cost,total_production_cost_with_emission,total_cost
2025,CCGT,60900.66399999999,4038.59595320322,2,1,399932986.7782294,46858133.80711235,9371626.76142247,1847673815.0244765,749730140.9137976,2597403955.938274,2997336942.716503
2025,coal,9478.786965467825,0.0,1,0,0.0,10693836.39953321,3635904.3758412916,301533780.9019894,290872350.0673033,592406130.9692926,592406130.9692926
2025,offwind-ac,27469.30444366733,27469.30444366733,2,2,5066545820.711148,67314384.82768911,0.0,1009715.7724153325,0.0,1009715.7724153325,5067555536.483563
2025,onwind,64079.00668944659,64079.00668944659,2,2,6157088261.192838,82400199.24233331,0.0,1236002.9886349996,0.0,1236002.9886349996,6158324264.181473
2025,ror,5571.016495,0.0,2,0,0.0,4195183.521741388,0.0,0.0,0.0,0.0,0.0
2025,solar,25414.038546077336,25414.038546077332,2,2,904792410.9102376,61108559.401308954,0.0,611085.5940130838,0.0,611085.5940130838,905403496.5042506
2030,CCGT,60900.66399999999,0.0,2,0,0.0,43083286.78103101,8616657.356206203,1701988772.9964595,689332588.4964962,2391321361.4929557,2391321361.4929557
2030,coal,9478.786965467825,0.0,1,0,0.0,8969399.65863391,3049595.8839355297,252909890.37451068,243967670.71484238,496877561.0893531,496877561.0893531
2030,offwind-ac,27469.30444366733,0.0,2,0,0.0,58585625.747106016,0.0,878784.3862065868,0.0,878784.3862065868,878784.3862065868
2030,onwind,64079.00668944659,12023.320124156176,2,1,1155271391.077878,80346241.22188064,0.0,1205193.6183282095,0.0,1205193.6183282095,1156476584.696206
2030,ror,5571.016495,0.0,2,0,0.0,4195183.521741388,0.0,0.0,0.0,0.0,0.0
2030,solar,25414.038546077336,25414.038546077332,2,2,904792410.9102376,96961855.57141234,0.0,969618.5557141145,0.0,969618.5557141145,905762029.4659517
2040,CCGT,60900.66399999999,0.0,2,0,0.0,59150315.77387368,11830063.154774737,2343648509.762052,946405052.3819789,3290053562.144031,3290053562.144031
2040,coal,9478.786965467825,0.0,1,0,0.0,13099727.829484865,4453907.4620248545,369372628.6465353,356312596.96198833,725685225.6085236,725685225.6085236
2040,offwind-ac,27469.30444366733,0.0,2,0,0.0,55632043.45973184,0.0,834480.6518959743,0.0,834480.6518959743,834480.6518959743
2040,onwind,64079.00668944659,0.0,2,0,0.0,86346690.90174104,0.0,1295200.3635261157,0.0,1295200.3635261157,1295200.3635261157
2040,ror,5571.016495,0.0,2,0,0.0,4195183.521741388,0.0,0.0,0.0,0.0,0.0
2040,solar,25414.038546077336,23540.312508004066,2,2,838083883.0113817,128920894.63692173,0.0,1289208.9463692051,0.0,1289208.9463692051,839373091.9577509
2050,CCGT,60900.66399999999,0.0,2,0,0.0,66295142.156479865,13259028.431295974,2630317716.5153503,1060722274.5036778,3691039991.0190277,3691039991.0190277
2050,coal,9478.786965467825,0.0,1,0,0.0,14894768.459195403,5064221.276126438,419987334.88731277,405137702.090115,825125036.9774277,825125036.9774277
2050,offwind-ac,27469.30444366733,0.0,2,0,0.0,58394581.537910245,0.0,875918.7230686501,0.0,875918.7230686501,875918.7230686501
2050,onwind,64079.00668944659,0.0,2,0,0.0,91440370.8180953,0.0,1371605.5622714295,0.0,1371605.5622714295,1371605.5622714295
2050,ror,5571.016495,0.0,2,0,0.0,4195183.521741388,0.0,0.0,0.0,0.0,0.0
2050,solar,25414.038546077336,0.0,2,0,0.0,134141866.41891246,0.0,1341418.664189112,0.0,1341418.664189112,1341418.664189112
