lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0.0,1.0,1812,38.52040816326531,250,306,790,466
1.0,2.0,0,0.0,0,0,0,0
2.0,3.0,0,0.0,0,0,0,0
3.0,4.0,0,0.0,0,0,0,0
4.0,5.0,0,0.0,0,0,0,0
5.0,6.0,0,0.0,0,0,0,0
6.0,7.0,0,0.0,0,0,0,0
7.0,8.0,0,0.0,0,0,0,0
8.0,9.0,0,0.0,0,0,0,0
9.0,10.0,0,0.0,0,0,0,0
10.0,11.0,0,0.0,0,0,0,0
11.0,12.0,0,0.0,0,0,0,0
12.0,13.0,0,0.0,0,0,0,0
13.0,14.0,0,0.0,0,0,0,0
14.0,15.0,0,0.0,0,0,0,0
15.0,16.0,0,0.0,0,0,0,0
16.0,17.0,0,0.0,0,0,0,0
17.0,18.0,0,0.0,0,0,0,0
18.0,19.0,0,0.0,0,0,0,0
19.0,20.0,0,0.0,0,0,0,0
20.0,21.0,0,0.0,0,0,0,0
21.0,22.0,0,0.0,0,0,0,0
22.0,23.0,0,0.0,0,0,0,0
23.0,24.0,0,0.0,0,0,0,0
24.0,25.0,0,0.0,0,0,0,0
25.0,26.0,0,0.0,0,0,0,0
26.0,27.0,0,0.0,0,0,0,0
27.0,28.0,0,0.0,0,0,0,0
28.0,29.0,0,0.0,0,0,0,0
29.0,30.0,0,0.0,0,0,0,0
30.0,31.0,0,0.0,0,0,0,0
31.0,32.0,0,0.0,0,0,0,0
32.0,33.0,0,0.0,0,0,0,0
33.0,34.0,0,0.0,0,0,0,0
34.0,35.0,0,0.0,0,0,0,0
35.0,36.0,0,0.0,0,0,0,0
36.0,37.0,0,0.0,0,0,0,0
37.0,38.0,1,0.021258503401360544,0,0,0,1
38.0,39.0,1,0.021258503401360544,0,0,0,1
39.0,40.0,0,0.0,0,0,0,0
40.0,41.0,0,0.0,0,0,0,0
41.0,42.0,0,0.0,0,0,0,0
42.0,43.0,0,0.0,0,0,0,0
43.0,44.0,0,0.0,0,0,0,0
44.0,45.0,0,0.0,0,0,0,0
45.0,46.0,0,0.0,0,0,0,0
46.0,47.0,0,0.0,0,0,0,0
47.0,48.0,0,0.0,0,0,0,0
48.0,49.0,0,0.0,0,0,0,0
49.0,50.0,0,0.0,0,0,0,0
50.0,51.0,0,0.0,0,0,0,0
51.0,52.0,0,0.0,0,0,0,0
52.0,53.0,1,0.021258503401360544,0,0,0,1
53.0,54.0,830,17.64455782312925,134,125,348,223
54.0,55.0,977,20.76955782312925,144,135,416,282
55.0,56.0,198,4.209183673469387,23,22,86,67
56.0,57.0,538,11.437074829931973,72,54,229,183
57.0,58.0,342,7.270408163265306,49,30,147,116
58.0,59.0,0,0.0,0,0,0,0
59.0,60.0,0,0.0,0,0,0,0
60.0,61.0,0,0.0,0,0,0,0
61.0,62.0,0,0.0,0,0,0,0
62.0,63.0,0,0.0,0,0,0,0
63.0,64.0,0,0.0,0,0,0,0
64.0,65.0,0,0.0,0,0,0,0
65.0,66.0,0,0.0,0,0,0,0
66.0,67.0,0,0.0,0,0,0,0
67.0,68.0,0,0.0,0,0,0,0
68.0,69.0,0,0.0,0,0,0,0
69.0,70.0,0,0.0,0,0,0,0
70.0,inf,4,0.08503401360544217,0,0,0,4
