year,generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name,extendable,extension_potential,new_capacity,cum_new_capacity,cum_extension_potential,total_capacity
2025,ES1 0 CCGT,ES1 0,CCGT,26305.331999999995,40.77238042153069,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,52610.66399999999,0.0,0.0,52610.66399999999,26305.331999999995
2030,ES1 0 CCGT,ES1 0,CCGT,26305.331999999995,40.77238042153069,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,52610.66399999999,0.0,0.0,105221.32799999998,26305.331999999995
2040,ES1 0 CCGT,ES1 0,CCGT,26305.331999999995,40.77238042153069,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,52610.66399999999,0.0,0.0,157831.99199999997,26305.331999999995
2050,ES1 0 CCGT,ES1 0,CCGT,26305.331999999995,40.77238042153069,99027.72929315244,0.2,#b20101,Combined-Cycle Gas,True,52610.66399999999,0.0,0.0,210442.65599999996,26305.331999999995
2025,ES1 0 coal,ES1 0,coal,4739.393482733913,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,9478.786965467825,0.0,0.0,9478.786965467825,4739.393482733913
2030,ES1 0 coal,ES1 0,coal,4739.393482733913,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,9478.786965467825,0.0,0.0,18957.57393093565,4739.393482733913
2040,ES1 0 coal,ES1 0,coal,4739.393482733913,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,9478.786965467825,0.0,0.0,28436.360896403476,4739.393482733913
2050,ES1 0 coal,ES1 0,coal,4739.393482733913,28.196969696969692,349976.5536298572,0.34,#707070,Coal,True,9478.786965467825,0.0,0.0,37915.1478618713,4739.393482733913
2025,ES1 0 offwind-ac,ES1 0,offwind-ac,9274.463485690856,0.0149999999999999,184160.1194560401,0.0,#6895dd,Offshore Wind (AC),True,18548.926971381712,11699.2960964267,11699.2960964267,18548.926971381712,20973.759582117556
2030,ES1 0 offwind-ac,ES1 0,offwind-ac,9274.463485690856,0.0149999999999999,184160.1194560401,0.0,#6895dd,Offshore Wind (AC),True,18548.926971381712,0.0,11699.2960964267,37097.853942763424,20973.759582117556
2040,ES1 0 offwind-ac,ES1 0,offwind-ac,9274.463485690856,0.0149999999999999,184160.1194560401,0.0,#6895dd,Offshore Wind (AC),True,18548.926971381712,0.0,11699.2960964267,55646.780914145136,20973.759582117556
2050,ES1 0 offwind-ac,ES1 0,offwind-ac,9274.463485690856,0.0149999999999999,184160.1194560401,0.0,#6895dd,Offshore Wind (AC),True,18548.926971381712,0.0,11699.2960964267,74195.70788552685,20973.759582117556
2025,ES1 0 onwind,ES1 0,onwind,26825.862669404865,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,53651.72533880973,53651.72533880973,53651.72533880973,53651.72533880973,80477.5880082146
2030,ES1 0 onwind,ES1 0,onwind,26825.862669404865,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,53651.72533880973,9748.162399073664,63399.88773788339,107303.45067761946,90225.75040728826
2040,ES1 0 onwind,ES1 0,onwind,26825.862669404865,0.015,96085.88801996633,0.0,#235ebc,Onshore Wind,True,53651.72533880973,0.0,63399.88773788339,160955.1760164292,90225.75040728826
